hips_x,hips_y,hips_z,Spine_x,Spine_y,Spine_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,leftArm_x,leftArm_y,leftArm_z,leftForeArm_x,leftForeArm_y,leftForeArm_z,leftHand_x,leftHand_y,leftHand_z,RightArm_x,RightArm_y,RightArm_z,RightArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,leftUpLeg_x,leftUpLeg_y,leftUpLeg_z,leftLeg_x,leftLeg_y,leftLeg_z,leftFoot_x,leftFoot_y,leftFoot_z,rightUpLeg_x,rightUpLeg_y,rightUpLeg_z,rightLeg_x,rightLeg_y,rightLeg_z,rightFoot_x,rightFoot_y,rightFoot_z,
2.485622,11.39987,355.2542,359.2356,358.2935,181.1195,0.01884224,359.5284,358.7968,358.8732,356.4682,356.6159,0.000887938,0.1337352,89.27065,0.006304265,358.9673,270.6956,288.4486,112.1506,6.526962,359.7032,5.142813,2.230941,353.8463,7.460681,2.195453,289.7554,240.2208,35.26739,289.7554,240.2208,35.26739,353.3173,18.00808,350.1262,359.7812,88.0641,312.4041,2.839212,352.9978,28.22931,79.13583,71.15366,347.2613,9.305202,269.617,338.072,358.4725,350.178,350.433,44.69322,268.7541,7.474871,
2.24269,11.16843,353.8802,359.2711,358.2524,181.7186,359.9384,359.5416,358.8822,359.0095,356.4712,356.4872,0.0004146138,0.06725196,89.35606,0.00722666,358.9082,270.7547,288.9791,113.6688,3.430929,359.7088,5.125191,2.238932,353.6151,7.299771,1.988168,288.5356,238.5533,34.91972,288.5356,238.5533,34.91972,353.4745,18.05609,350.3071,358.409,89.04497,313.9222,3.116364,352.6557,29.29646,81.47535,65.35665,341.8217,9.612766,269.1107,341.7464,357.6054,350.1947,343.2611,42.10782,268.5189,6.559754,
2.021109,10.88885,351.9821,359.3386,358.1023,182.7728,359.7737,359.5894,359.0746,359.0865,356.7011,356.5284,-2.654619E-05,359.9846,89.52866,0.00885342,358.8563,270.8834,290.166,117.1168,355.9496,359.7354,4.975083,2.164986,353.6041,6.912727,0.9854746,286.2126,235.0901,34.94127,286.2126,235.0901,34.94127,353.224,17.22489,350.9318,356.1436,90.66802,317.369,3.614554,351.9818,30.11017,85.06026,41.86556,319.1542,9.187254,268.2604,349.842,356.286,350.0502,330.3677,40.31831,267.5446,4.90969,
2.020997,10.84231,351.5713,359.3612,358.0323,183.0919,359.7165,359.6115,359.1459,359.0574,356.8419,356.6251,-6.901893E-05,359.9706,89.58779,0.00931403,358.857,270.9301,290.6255,118.3496,353.0967,359.7484,4.891719,2.114564,353.7267,6.76059,0.4800965,285.458,233.8448,35.17343,285.458,233.8448,35.17343,352.9811,16.68204,351.2177,355.5031,91.12875,318.6613,3.762242,351.7499,30.02147,85.79318,27.6004,305.1998,8.732817,267.9744,352.8203,355.8763,349.9533,326.3802,40.62784,267.0151,4.337302,
2.137497,10.78298,351.6674,359.3706,357.9772,183.2348,359.677,359.6454,359.1939,358.8982,357.0742,356.7803,3.589683E-05,-0.0002195822,89.59605,0.009439428,358.8867,270.9679,290.948,119.84,349.8341,359.8102,4.519309,1.709454,354.0384,6.345606,359.85,284.9319,233.1711,35.03493,284.9319,233.1711,35.03493,352.4605,15.6556,351.8677,355.1703,91.35828,320.3438,3.776085,351.5737,29.21874,86.17213,13.64142,291.4572,7.686225,267.8145,356.3298,355.559,349.9624,323.7211,42.11228,265.9119,3.302924,
2.256117,10.7276,351.8087,359.3779,357.9284,183.3469,359.6427,359.6777,359.2353,358.7378,357.2958,356.9272,0.0001453266,0.03099022,89.59825,0.009501434,358.917,271.0014,291.2565,121.1708,346.8646,359.8656,4.147908,1.300904,354.3436,5.935405,359.261,284.4752,232.6073,34.87987,284.4752,232.6073,34.87987,351.9549,14.66068,352.5008,354.8921,91.53869,321.9227,3.769414,351.4173,28.40998,86.29884,359.6587,277.6624,6.659595,267.6204,359.5969,355.2793,349.9933,321.4283,43.58092,264.7718,2.237472,
2.365891,10.60681,352.0713,359.3838,357.8977,183.4158,359.6079,359.7132,359.2675,358.5424,357.5323,357.0647,0.0002728241,0.06511816,89.58446,0.009483558,358.951,271.0319,291.5978,122.56,343.7175,359.9443,3.616616,0.6004555,354.6027,5.356595,358.7047,284.0313,232.2112,34.48188,284.0313,232.2112,34.48188,351.3985,13.44292,353.3258,354.6415,91.65948,323.8095,3.685755,351.2963,27.31379,86.25953,345.2442,263.3612,5.506158,267.4023,2.993009,355.0637,350.0872,319.5927,45.27235,263.431,0.9471606,
2.481971,9.989635,353.2399,359.3837,357.9683,183.2519,359.5504,359.7887,359.2603,358.0268,357.9912,357.2199,0.0006616812,0.1337377,89.46451,0.009045785,359.0257,271.0596,292.2545,125.3196,337.4789,0.1378688,1.775984,357.6183,354.6929,3.4037,358.0648,283.4183,232.8318,32.12638,283.4183,232.8318,32.12638,350.2342,10.15941,355.8097,354.4692,91.4882,328.8032,3.10392,351.3723,23.78814,86.04373,321.8693,239.6749,2.883229,267.1079,9.040061,355.1176,350.5514,319.6726,49.33078,260.1978,357.6438,
2.345974,9.274994,353.9874,359.388,358.118,183.0664,359.5196,359.8109,359.2308,357.8255,358.1026,357.187,0.0006041116,0.1114325,89.41651,0.008953525,359.0262,271.0493,292.6765,126.516,334.699,0.1829374,0.5913805,354.7607,354.1687,2.084477,358.3928,283.1924,234.352,29.48363,283.1924,234.352,29.48363,350.0581,8.6057,357.0681,354.5248,91.13838,331.9864,2.573042,351.7494,21.55364,86.01872,311.4019,228.5433,1.851949,267.1611,11.0338,355.3849,350.7754,322.1161,51.57861,259.4158,356.8241,
2.224937,8.579482,354.7155,359.393,358.2635,182.8861,359.4897,359.8324,359.2021,357.63,358.2111,357.1542,0.0005303668,0.08977117,89.36987,0.008863932,359.0268,271.0394,293.1119,127.6005,332.0725,0.1015826,359.4468,351.9821,353.6593,0.7996933,358.7116,282.9895,235.8968,26.84953,282.9895,235.8968,26.84953,349.8891,7.092147,358.2915,354.5987,90.82732,334.5623,2.09988,352.144,19.37606,85.85499,301.731,218.2268,0.8300195,267.1734,12.96335,355.6502,351.0052,324.4889,53.75439,258.5533,355.9249,
1.998884,7.600307,355.4861,359.4038,358.4863,182.6574,359.4799,359.8387,359.1998,357.6249,358.2436,357.1553,0.0001732285,0.02590441,89.39599,0.008767402,359.0032,271.0037,293.7758,128.2982,329.8961,359.9077,358.4878,348.293,353.141,359.5781,359.4483,282.7498,238.4297,22.97495,282.7498,238.4297,22.97495,350.066,6.165482,358.9189,354.799,90.23614,337.5166,1.546147,352.808,17.30559,85.61385,291.8573,207.2572,0.2523341,267.3718,14.07309,356.0886,351.1909,328.3065,55.97854,259.0771,356.3878,
1.779193,6.58167,356.2892,359.417,358.718,182.4203,359.4702,359.8448,359.1979,357.623,358.2759,357.157,-0.0001686086,359.9591,89.4243,0.008651395,358.9784,270.9663,294.4838,128.9202,327.7404,359.551,357.5341,344.4695,352.6056,358.3095,0.218129,282.5463,241.1887,18.82676,282.5463,241.1887,18.82676,350.2558,5.220251,359.5563,355.0544,89.62651,340.5726,1.049895,353.5306,15.15487,85.21635,283.1574,197.4165,359.6501,267.5665,15.1997,356.5558,351.4156,332.2751,58.27638,259.7234,356.9708,
1.539648,5.433823,357.0568,359.4595,358.9824,182.1225,359.5074,359.8511,359.2561,357.9036,358.3712,357.3611,-0.0003682699,359.9055,89.509,0.007437009,359.0267,270.8713,295.5716,128.6669,325.9214,359.158,356.9424,339.9982,352.8365,357.4911,0.7758866,282.2731,245.0739,13.20839,282.2731,245.0739,13.20839,350.6544,4.893179,359.6388,355.4355,88.75945,343.5378,0.5828342,354.3877,13.44207,84.47341,275.9037,188.6933,359.2653,267.7581,15.98941,357.2612,351.9137,336.8908,60.55579,261.7936,358.5883,
1.320065,4.335414,357.7809,359.5077,359.2346,181.8327,359.5482,359.8582,359.3174,358.2005,358.4775,357.5835,-0.0004674344,359.8585,89.59171,0.006177426,359.0878,270.7715,296.6367,128.2968,324.2069,358.7017,356.4571,335.6944,353.1633,356.7737,1.251968,282.0935,249.0627,7.529819,282.0935,249.0627,7.529819,351.0472,4.629077,359.6898,355.8625,87.91984,346.364,0.2118956,355.2283,11.81036,83.65375,271.0577,182.4184,358.9128,267.9319,16.76159,357.9079,352.4986,341.3012,62.62173,264.2503,0.5539976,
1.119628,3.440654,358.2814,359.5883,359.4368,181.5525,359.6172,359.8741,359.4063,358.6448,358.6809,357.9613,-0.0003911084,359.854,89.66417,0.004067751,359.2562,270.6211,297.6324,127.6252,322.4427,358.432,356.2607,331.8817,354.2013,356.6152,1.200315,281.9911,253.1679,1.752111,281.9911,253.1679,1.752111,351.4369,4.686358,359.6183,356.2529,87.06103,348.7997,359.9351,355.9309,10.46563,82.80551,268.4888,178.5007,358.7538,268.046,17.67359,358.5034,353.3783,344.85,63.54042,268.1331,3.594057,
0.8728805,2.364589,358.8771,359.6906,359.6732,181.1991,359.7039,359.8956,359.5216,359.1641,358.9467,358.4384,-0.0002772963,359.8544,89.75291,0.002096628,359.4621,270.4389,298.8106,126.6994,320.3999,358.1045,356.0524,327.2779,355.5105,356.4534,1.101379,281.9817,258.2799,354.5862,281.9817,258.2799,354.5862,351.929,4.72764,359.5543,356.8063,85.98465,351.8749,359.6775,356.8089,8.703435,81.74981,266.6109,174.9257,358.5301,268.1833,19.01043,359.1077,354.6567,348.9763,64.34414,272.5441,6.852951,
0.6702484,1.723782,359.201,359.7705,359.7827,180.8914,359.778,359.9205,359.6375,359.416,359.2046,358.8316,-0.0001468624,359.8859,89.81567,0.001138987,359.6062,270.3208,299.4761,125.7659,319.4576,357.9823,355.9178,324.3687,356.6398,356.5147,0.8392285,281.9767,262.0546,349.3111,281.9767,262.0546,349.3111,352.3567,4.606164,359.6346,357.2493,85.0042,354.6211,359.5573,357.452,6.878462,81.08752,266.531,173.4036,358.2415,268.283,21.13441,359.469,356.3239,350.6556,63.71556,272.3914,5.244978,
