hips_x,hips_x,,,,hips_y,hips_y,,,,hips_z,hips_z,,,,Spine_x,Spine_x,,,,Spine_y,Spine_y,,,,Spine_z,Spine_z,,,,leftUpLeg_x,leftUpLeg_x,,,,leftUpLeg_y,leftUpLeg_y,,,,leftUpLeg_z,leftUpLeg_z,,,,leftLeg_x,leftLeg_x,,,,leftLeg_y,leftLeg_y,,,,leftLeg_z,leftLeg_z,,,,leftFoot_x,leftFoot_x,,,,leftFoot_y,leftFoot_y,,,,leftFoot_z,leftFoot_z,,,,rightUpLeg_x,rightUpLeg_x,,,,rightUpLeg_y,rightUpLeg_y,,,,rightUpLeg_z,rightUpLeg_z,,,,rightLeg_x,rightLeg_x,,,,rightLeg_y,rightLeg_y,,,,rightLeg_z,rightLeg_z,,,,rightFoot_x,rightFoot_x,,,,rightFoot_y,rightFoot_y,,,,rightFoot_z,rightFoot_z,,,
2.485622,-2.73E-05,2.49E+00,6.18E+00,,11.39987,0,11.39987,129.957036,,355.2542,0,355.2542,126205.5466,,359.2356,5.46E-05,3.59E+02,1.29E+05,,358.2935,7.83E-19,3.58E+02,1.28E+05,,181.1195,180,1.1195,1.25328025,,359.7812,0,359.7812,129442.5119,,88.0641,89.99995,-1.93585,3.747515223,,312.4041,0,312.4041,97596.3217,,2.839212,-0.000136604,2.839348604,8.061900494,,352.9978,5.32E-11,3.53E+02,1.25E+05,,28.22931,-2.23E-05,2.82E+01,7.97E+02,,79.13583,90,-10.86417,118.0301898,,71.15366,89.99995,-18.84629,355.1826468,,347.2613,0,347.2613,120590.4105,,9.305202,0,9.305202,86.58678426,,269.617,270.0001,-0.3831,0.14676561,,338.072,0,338.072,114292.6772,,358.4725,0,358.4725,128502.5333,,350.178,0,350.178,122624.6317,,350.433,0,350.433,122803.2875,,44.69322,90,-45.30678,2052.704314,,268.7541,270,-1.2459,1.55226681,,7.474871,0,7.474871,55.87369647,
2.24269,-2.73E-05,2.24E+00,5.03E+00,,11.16843,0,11.16843,124.7338287,,353.8802,0,353.8802,125231.196,,359.2711,5.46E-05,3.59E+02,1.29E+05,,358.2524,7.83E-19,3.58E+02,1.28E+05,,181.7186,180,1.7186,2.95358596,,358.409,0,358.409,128457.0113,,89.04497,89.99995,-0.95498,0.9119868,,313.9222,0,313.9222,98547.14765,,3.116364,-0.000136604,3.116500604,9.712576013,,352.6557,5.32E-11,3.53E+02,1.24E+05,,29.29646,-2.23E-05,2.93E+01,8.58E+02,,81.47535,90,-8.52465,72.66965762,,65.35665,89.99995,-24.6433,607.2922349,,341.8217,0,341.8217,116842.0746,,9.612766,0,9.612766,92.40527017,,269.1107,270.0001,-0.8894,0.79103236,,341.7464,0,341.7464,116790.6019,,357.6054,0,357.6054,127881.6221,,350.1947,0,350.1947,122636.3279,,343.2611,0,343.2611,117828.1828,,42.10782,90,-47.89218,2293.660905,,268.5189,270,-1.4811,2.19365721,,6.559754,0,6.559754,43.03037254,
2.021109,-2.73E-05,2.02E+00,4.08E+00,,10.88885,0,10.88885,118.5670543,,351.9821,0,351.9821,123891.3987,,359.3386,5.46E-05,3.59E+02,1.29E+05,,358.1023,7.83E-19,3.58E+02,1.28E+05,,182.7728,180,2.7728,7.68841984,,356.1436,0,356.1436,126838.2638,,90.66802,89.99995,0.66807,0.446317525,,317.369,0,317.369,100723.0822,,3.614554,-0.000136604,3.614690604,13.06598816,,351.9818,5.32E-11,3.52E+02,1.24E+05,,30.11017,-2.23E-05,3.01E+01,9.07E+02,,85.06026,90,-4.93974,24.40103127,,41.86556,89.99995,-48.13439,2316.919501,,319.1542,0,319.1542,101859.4034,,9.187254,0,9.187254,84.40563606,,268.2604,270.0001,-1.7397,3.02655609,,349.842,0,349.842,122389.425,,356.286,0,356.286,126939.7138,,350.0502,0,350.0502,122535.1425,,330.3677,0,330.3677,109142.8172,,40.31831,90,-49.68169,2468.270321,,267.5446,270,-2.4554,6.02898916,,4.90969,0,4.90969,24.1050559,
2.020997,-2.73E-05,2.02E+00,4.08E+00,,10.84231,0,10.84231,117.5556861,,351.5713,0,351.5713,123602.379,,359.3612,5.46E-05,3.59E+02,1.29E+05,,358.0323,7.83E-19,3.58E+02,1.28E+05,,183.0919,180,3.0919,9.55984561,,355.5031,0,355.5031,126382.4541,,91.12875,89.99995,1.1288,1.27418944,,318.6613,0,318.6613,101545.0241,,3.762242,-0.000136604,3.762378604,14.15549276,,351.7499,5.32E-11,3.52E+02,1.24E+05,,30.02147,-2.23E-05,3.00E+01,9.01E+02,,85.79318,90,-4.20682,17.69733451,,27.6004,89.99995,-62.39955,3893.70384,,305.1998,0,305.1998,93146.91792,,8.732817,0,8.732817,76.26209276,,267.9744,270.0001,-2.0257,4.10346049,,352.8203,0,352.8203,124482.1641,,355.8763,0,355.8763,126647.9409,,349.9533,0,349.9533,122467.3122,,326.3802,0,326.3802,106524.035,,40.62784,90,-49.37216,2437.610183,,267.0151,270,-2.9849,8.90962801,,4.337302,0,4.337302,18.81218864,
2.137497,-2.73E-05,2.14E+00,4.57E+00,,10.78298,0,10.78298,116.2726577,,351.6674,0,351.6674,123669.9602,,359.3706,5.46E-05,3.59E+02,1.29E+05,,357.9772,7.83E-19,3.58E+02,1.28E+05,,183.2348,180,3.2348,10.46393104,,355.1703,0,355.1703,126145.942,,91.35828,89.99995,1.35833,1.845060389,,320.3438,0,320.3438,102620.1502,,3.776085,-0.000136604,3.776221604,14.2598496,,351.5737,5.32E-11,3.52E+02,1.24E+05,,29.21874,-2.23E-05,2.92E+01,8.54E+02,,86.17213,90,-3.82787,14.65258874,,13.64142,89.99995,-76.35853,5830.625104,,291.4572,0,291.4572,84947.29943,,7.686225,0,7.686225,59.07805475,,267.8145,270.0001,-2.1856,4.77684736,,356.3298,0,356.3298,126970.9264,,355.559,0,355.559,126422.2025,,349.9624,0,349.9624,122473.6814,,323.7211,0,323.7211,104795.3506,,42.11228,90,-47.88772,2293.233727,,265.9119,270,-4.0881,16.71256161,,3.302924,0,3.302924,10.90930695,
2.256117,-2.73E-05,2.26E+00,5.09E+00,,10.7276,0,10.7276,115.0814018,,351.8087,0,351.8087,123769.3614,,359.3779,5.46E-05,3.59E+02,1.29E+05,,357.9284,7.83E-19,3.58E+02,1.28E+05,,183.3469,180,3.3469,11.20173961,,354.8921,0,354.8921,125948.4026,,91.53869,89.99995,1.53874,2.367720788,,321.9227,0,321.9227,103634.2248,,3.769414,-0.000136604,3.769550604,14.20951175,,351.4173,5.32E-11,3.51E+02,1.23E+05,,28.40998,-2.23E-05,2.84E+01,8.07E+02,,86.29884,90,-3.70116,13.69858535,,359.6587,89.99995,269.65875,72715.84145,,277.6624,0,277.6624,77096.40837,,6.659595,0,6.659595,44.35020556,,267.6204,270.0001,-2.3797,5.66297209,,359.5969,0,359.5969,129309.9305,,355.2793,0,355.2793,126223.381,,349.9933,0,349.9933,122495.31,,321.4283,0,321.4283,103316.152,,43.58092,90,-46.41908,2154.730988,,264.7718,270,-5.2282,27.33407524,,2.237472,0,2.237472,5.006280951,
2.365891,-2.73E-05,2.37E+00,5.60E+00,,10.60681,0,10.60681,112.5044184,,352.0713,0,352.0713,123954.2003,,359.3838,5.46E-05,3.59E+02,1.29E+05,,357.8977,7.83E-19,3.58E+02,1.28E+05,,183.4158,180,3.4158,11.66768964,,354.6415,0,354.6415,125770.5935,,91.65948,89.99995,1.65953,2.754039821,,323.8095,0,323.8095,104852.5923,,3.685755,-0.000136604,3.685891604,13.58579691,,351.2963,5.32E-11,3.51E+02,1.23E+05,,27.31379,-2.23E-05,2.73E+01,7.46E+02,,86.25953,90,-3.74047,13.99111582,,345.2442,89.99995,255.24425,65149.62716,,263.3612,0,263.3612,69359.12167,,5.506158,0,5.506158,30.31777592,,267.4023,270.0001,-2.5978,6.74856484,,2.993009,0,2.993009,8.958102874,,355.0637,0,355.0637,126070.2311,,350.0872,0,350.0872,122561.0476,,319.5927,0,319.5927,102139.4939,,45.27235,90,-44.72765,2000.562675,,263.431,270,-6.569,43.151761,,0.9471606,0,0.9471606,0.897113202,
2.481971,-2.73E-05,2.48E+00,6.16E+00,,9.989635,0,9.989635,99.79280743,,353.2399,0,353.2399,124778.427,,359.3837,5.46E-05,3.59E+02,1.29E+05,,357.9683,7.83E-19,3.58E+02,1.28E+05,,183.2519,180,3.2519,10.57485361,,354.4692,0,354.4692,125648.4137,,91.4882,89.99995,1.48825,2.214888063,,328.8032,0,328.8032,108111.5443,,3.10392,-0.000136604,3.104056604,9.6351674,,351.3723,5.32E-11,3.51E+02,1.23E+05,,23.78814,-2.23E-05,2.38E+01,5.66E+02,,86.04373,90,-3.95627,15.65207231,,321.8693,89.99995,231.86935,53763.39547,,239.6749,0,239.6749,57444.05769,,2.883229,0,2.883229,8.313009466,,267.1079,270.0001,-2.8922,8.36482084,,9.040061,0,9.040061,81.72270288,,355.1176,0,355.1176,126108.5098,,350.5514,0,350.5514,122886.284,,319.6726,0,319.6726,102190.5712,,49.33078,90,-40.66922,1653.985455,,260.1978,270,-9.8022,96.08312484,,357.6438,0,357.6438,127909.0877,
2.345974,-2.73E-05,2.35E+00,5.50E+00,,9.274994,0,9.274994,86.0255137,,353.9874,0,353.9874,125307.0794,,359.388,5.46E-05,3.59E+02,1.29E+05,,358.118,7.83E-19,3.58E+02,1.28E+05,,183.0664,180,3.0664,9.40280896,,354.5248,0,354.5248,125687.8338,,91.13838,89.99995,1.13843,1.296022865,,331.9864,0,331.9864,110214.9698,,2.573042,-0.000136604,2.573178604,6.621248127,,351.7494,5.32E-11,3.52E+02,1.24E+05,,21.55364,-2.23E-05,2.16E+01,4.65E+02,,86.01872,90,-3.98128,15.85059044,,311.4019,89.99995,221.40195,49018.82346,,228.5433,0,228.5433,52232.03997,,1.851949,0,1.851949,3.429715099,,267.1611,270.0001,-2.839,8.059921,,11.0338,0,11.0338,121.7447424,,355.3849,0,355.3849,126298.4271,,350.7754,0,350.7754,123043.3812,,322.1161,0,322.1161,103758.7819,,51.57861,90,-38.42139,1476.20321,,259.4158,270,-10.5842,112.0252896,,356.8241,0,356.8241,127323.4383,
2.224937,-2.73E-05,2.22E+00,4.95E+00,,8.579482,0,8.579482,73.60751139,,354.7155,0,354.7155,125823.0859,,359.393,5.46E-05,3.59E+02,1.29E+05,,358.2635,7.83E-19,3.58E+02,1.28E+05,,182.8861,180,2.8861,8.32957321,,354.5987,0,354.5987,125740.238,,90.82732,89.99995,0.82737,0.684541117,,334.5623,0,334.5623,111931.9326,,2.09988,-0.000136604,2.100016604,4.410069736,,352.144,5.32E-11,3.52E+02,1.24E+05,,19.37606,-2.23E-05,1.94E+01,3.75E+02,,85.85499,90,-4.14501,17.1811079,,301.731,89.99995,211.73105,44830.03753,,218.2268,0,218.2268,47622.93624,,0.8300195,0,0.8300195,0.68893237,,267.1734,270.0001,-2.8267,7.99023289,,12.96335,0,12.96335,168.0484432,,355.6502,0,355.6502,126487.0648,,351.0052,0,351.0052,123204.6504,,324.4889,0,324.4889,105293.0462,,53.75439,90,-36.24561,1313.744244,,258.5533,270,-11.4467,131.0269409,,355.9249,0,355.9249,126682.5344,
1.998884,-2.73E-05,2.00E+00,4.00E+00,,7.600307,0,7.600307,57.76466649,,355.4861,0,355.4861,126370.3673,,359.4038,5.46E-05,3.59E+02,1.29E+05,,358.4863,7.83E-19,3.58E+02,1.29E+05,,182.6574,180,2.6574,7.06177476,,354.799,0,354.799,125882.3304,,90.23614,89.99995,0.23619,0.055785716,,337.5166,0,337.5166,113917.4553,,1.546147,-0.000136604,1.546283604,2.390992983,,352.808,5.32E-11,3.53E+02,1.24E+05,,17.30559,-2.23E-05,1.73E+01,2.99E+02,,85.61385,90,-4.38615,19.23831182,,291.8573,89.99995,201.85735,40746.38975,,207.2572,0,207.2572,42955.54695,,0.2523341,0,0.2523341,0.063672498,,267.3718,270.0001,-2.6283,6.90796089,,14.07309,0,14.07309,198.0518621,,356.0886,0,356.0886,126799.091,,351.1909,0,351.1909,123335.0482,,328.3065,0,328.3065,107785.1579,,55.97854,90,-34.02146,1157.459741,,259.0771,270,-10.9229,119.3097444,,356.3878,0,356.3878,127012.264,
1.779193,-2.73E-05,1.78E+00,3.17E+00,,6.58167,0,6.58167,43.31837999,,356.2892,0,356.2892,126941.994,,359.417,5.46E-05,3.59E+02,1.29E+05,,358.718,7.83E-19,3.59E+02,1.29E+05,,182.4203,180,2.4203,5.85785209,,355.0544,0,355.0544,126063.627,,89.62651,89.99995,-0.37344,0.139457434,,340.5726,0,340.5726,115989.6959,,1.049895,-0.000136604,1.050031604,1.102566369,,353.5306,5.32E-11,3.54E+02,1.25E+05,,15.15487,-2.23E-05,1.52E+01,2.30E+02,,85.21635,90,-4.78365,22.88330732,,283.1574,89.99995,193.15745,37309.80049,,197.4165,0,197.4165,38973.27447,,359.6501,0,359.6501,129348.1944,,267.5665,270.0001,-2.4336,5.92240896,,15.1997,0,15.1997,231.0308801,,356.5558,0,356.5558,127132.0385,,351.4156,0,351.4156,123492.9239,,332.2751,0,332.2751,110406.7421,,58.27638,90,-31.72362,1006.388066,,259.7234,270,-10.2766,105.6085076,,356.9708,0,356.9708,127428.1521,
